statefp,stusps,year,speimean
34,NJ,2013,0.297500344
34,NJ,2014,0.12237649
34,NJ,2015,-0.512286085
34,NJ,2016,-0.97871511
34,NJ,2017,0.10477886
34,NJ,2018,0.680010767
34,NJ,2019,0.500413188
34,NJ,2020,-0.031434187
34,NJ,2021,0.048350688
34,NJ,2022,-0.377730295
34,NJ,2023,-0.219163894
34,NJ,2024,-0.504728512
34,NJ,2025,-0.136739359
35,NM,2005,-0.229814769
35,NM,2006,-0.565473339
35,NM,2007,0.282478202
35,NM,2008,-0.059741002
35,NM,2009,-0.415532571
35,NM,2010,0.093121924
35,NM,2011,-1.689599984
35,NM,2012,-1.466133886
35,NM,2013,-0.628761273
35,NM,2014,-0.243252399
35,NM,2015,0.384289309
35,NM,2016,-0.634071311
35,NM,2017,-0.363604301
35,NM,2018,-1.507375073
35,NM,2019,-0.525862231
35,NM,2020,-1.573054769
35,NM,2021,-0.262494822
35,NM,2022,-0.950096304
35,NM,2023,-1.246929451
35,NM,2024,-1.078974821
35,NM,2025,-0.478652314
36,NY,2005,-0.180453738
36,NY,2006,0.403496967
36,NY,2007,-0.178508249
36,NY,2008,0.458131136
36,NY,2009,0.429738672
36,NY,2010,-0.327852408
36,NY,2011,1.049251469
36,NY,2012,-1.02392574
36,NY,2013,0.555276355
36,NY,2014,0.73208944
36,NY,2015,0.219017012
36,NY,2016,-0.919841664
36,NY,2017,1.220622627
36,NY,2018,0.077399758
36,NY,2019,0.416388711
36,NY,2020,-0.315062583
36,NY,2021,0.259115551
36,NY,2022,0.830004267
36,NY,2023,0.25329
36,NY,2024,0.119240982
36,NY,2025,-0.177351056
37,NC,2005,0.377493967
37,NC,2006,0.14637476
37,NC,2007,-1.398105975
37,NC,2008,-0.637556904
37,NC,2009,0.460657367
37,NC,2010,-0.951034818
37,NC,2011,-0.344690534
37,NC,2012,-0.254647723
37,NC,2013,1.340264933
37,NC,2014,-0.071442006
37,NC,2015,-0.816450511
37,NC,2016,-0.681021331
37,NC,2017,0.28760331
37,NC,2018,0.328105301
37,NC,2019,-0.343986312
37,NC,2020,0.956327831
37,NC,2021,-0.27014937
37,NC,2022,-1.197446036
37,NC,2023,-0.104359305
37,NC,2024,0.088134792
37,NC,2025,0.160712714
38,ND,2005,0.23090644
38,ND,2006,-1.019750129
38,ND,2007,0.260557279
38,ND,2008,-0.121604351
38,ND,2009,0.263995707
38,ND,2010,0.504145262
38,ND,2011,0.992698691
38,ND,2012,-0.900768283
38,ND,2013,0.812414535
38,ND,2014,0.591071493
38,ND,2015,-0.197015795
38,ND,2016,0.20994001
38,ND,2017,-0.922955222
38,ND,2018,0.012028949
38,ND,2019,0.506873669
38,ND,2020,-0.607678203
38,ND,2021,-1.172795419
38,ND,2022,1.818399429372006
38,ND,2023,-0.088295139
38,ND,2024,-0.018196605
38,ND,2025,0.181060243
39,OH,2005,-0.39550562
39,OH,2006,0.240538959
39,OH,2007,-0.282581528
39,OH,2008,0.551037859
39,OH,2009,-0.105440621
39,OH,2010,-0.378514494
39,OH,2011,1.157254485
39,OH,2012,-1.316145286
39,OH,2013,0.278934765
39,OH,2014,0.465755568
39,OH,2015,0.518243809
39,OH,2016,-0.420631557
39,OH,2017,0.498407556
39,OH,2018,0.438697719
39,OH,2019,0.842489877
39,OH,2020,-0.181555544
39,OH,2021,-0.077856888
39,OH,2022,0.327735439
39,OH,2023,-0.182225803
39,OH,2024,-0.429132908
39,OH,2025,0.108993489
40,OK,2005,-0.308001448
40,OK,2006,-0.902296679
40,OK,2007,1.247580995
40,OK,2008,0.377655479
